cod;nome;período;de-jovens -UF.csv;mulheres-negras;homens-negros;mulheres-nao-negras;de-jovens-mulheres;de-mulheres-por-armas-de-fogo;de-jovens-homens;homicidios;de-jovens-por-armas-de-fogo;mulheres;por-armas-de-fogo;negros;de-homens-por-armas-de-fogo;homens-nao-negros;nao-negros;homens
13;AM;1992;28.54;;;;2.55;0.65;54.7;16.29;12.99;2.43;7.8;;14.4;;;29.56
13;AM;1993;29.28;;;;5.33;0.9;53.4;15.78;15.11;3.0;7.76;;14.4;;;28.26
13;AM;1994;35.53;;;;3.98;1.15;67.4;17.05;16.92;2.4;8.11;;14.9;;;31.37
13;AM;1995;36.41;;;;6.29;1.21;66.8;18.32;17.0;3.65;7.93;;14.5;;;32.74
13;AM;1996;49.31;;;;5.929;1.34;94.43;18.83;18.38;2.78;9.21;;16.9;;;47.43
13;AM;1997;55.47;;;;7.24;1.06;108.53;19.02;16.76;2.69;8.21;;15.1;;;60.58
13;AM;1998;62.67;;;;11.25;1.75;122.4;21.18;18.34;4.14;9.05;;16.2;;;52.74
13;AM;1999;44.56;;;;6.614;1.47;84.3;20.42;17.65;3.97;8.6;;15.6;;;40.1
13;AM;2000;40.34;3.67;63.25;2.02;4.86;0.91;75.18;20.9;18.91;2.52;9.35;32.6;16.06;14.81;8.27;35.41
13;AM;2001;31.78;5.6;48.61;2.72;6.07;1.02;57.06;16.72;13.83;3.76;6.86;26.59;18.89;17.91;10.13;28.78
13;AM;2002;33.97;3.29;51.39;2.18;3.73;1.0;63.73;17.32;12.63;2.34;6.79;27.19;8.0;20.39;10.34;31.21
13;AM;2003;36.56;3.65;57.52;1.5;4.08;0.91;68.52;18.41;11.83;2.29;5.64;30.4;14.34;15.31;8.12;33.34
13;AM;2004;32.28;2.93;35.17;3.47;4.0;0.9;60.1;16.97;14.21;3.14;7.23;19.03;14.23;17.21;10.27;29.7
13;AM;2005;36.44;3.15;37.35;2.26;4.75;0.82;67.62;18.53;16.48;3.01;8.17;20.1;12.43;21.06;11.73;33.53
13;AM;2006;42.96;2.65;41.08;5.29;5.26;1.35;80.04;21.11;23.79;3.26;11.45;22.58;24.01;26.98;15.18;38.45
13;AM;2007;42.65;3.42;47.99;1.79;5.56;1.5;79.1;21.1;26.1;3.13;12.88;25.76;28.33;10.53;5.99;38.63
13;AM;2008;46.52;4.25;54.11;1.84;5.07;1.18;87.24;24.84;27.75;3.72;13.35;29.16;24.31;12.14;6.62;43.77
13;AM;2009;51.32;4.36;56.1;1.96;4.03;1.62;97.78;26.99;34.12;3.87;16.86;30.48;28.2;12.91;6.83;47.49
13;AM;2010;59.29;4.39;67.2;1.27;6.04;1.59;111.57;31.06;37.87;3.69;18.24;35.83;16.84;20.37;10.26;55.8
13;AM;2011;72.86;4.85;79.67;3.51;5.39;1.78;139.07;36.51;54.34;4.51;24.84;41.97;19.76;31.93;17.44;65.16
13;AM;2012;66.51;6.46;77.59;6.62;8.81;2.84;123.11;37.43;46.15;6.45;23.81;42.46;42.47;31.0;18.46;64.79
13;AM;2013;59.13;4.67;62.89;6.08;5.62;1.77;111.61;31.28;39.75;5.15;18.25;34.45;22.64;37.51;20.96;56.91
13;AM;2014;60.11;4.23;68.75;3.31;6.09;1.74;113.09;32.01;39.99;4.21;19.67;36.93;27.33;25.97;14.07;59.23
13;AM;2015;70.92;6.02;77.94;5.25;9.56;2.28;131.13;37.38;48.13;5.95;23.61;42.84;38.48;30.44;17.58;68.23
13;AM;2016;67.68;6.23;77.46;5.43;9.27;2.19;124.92;36.28;41.54;5.9;19.77;42.97;38.35;22.67;13.67;66.08
13;AM;2017;80.51;6.39;89.57;3.75;7.939;2.55;151.54;41.19;51.65;5.76;23.99;48.66;41.79;34.46;18.19;76.01
13;AM;2018;72.35;7.16;80.46;3.54;12.36;2.51;132.42;37.79;50.45;6.25;23.55;44.72;49.86;30.76;15.74;68.0
13;AM;2019;76.28;5.72;78.36;6.64;10.73;2.37;141.57;38.41;52.24;5.72;23.67;42.19;47.62;50.17;27.39;69.77
13;AM;2020;62.3;3.94;63.43;5.74;7.79;1.86;116.0;31.51;41.67;4.05;18.58;34.11;32.72;37.49;22.11;58.75
13;AM;2021;92.73;6.74;85.13;6.94;10.92;3.43;169.62;42.52;71.73;6.34;29.78;47.35;55.91;39.63;23.29;78.36
16;AP;1980;;;;;0.0;;26.28;3.99;;0.0;1.14;;;;;
16;AP;1981;;;;;7.828;;36.59;8.15;;4.36;2.17;;;;;
16;AP;1982;;;;;3.676;;34.31;11.81;;2.06;4.1;;;;;
16;AP;1983;;;;;13.858;;68.2;13.62;;3.9;5.84;;;;;
16;AP;1984;;;;;9.83;;47.46;11.55;;3.71;5.55;;;;;
16;AP;1985;;;;;6.22;;51.4;14.97;;3.54;6.6;;;;;
16;AP;1986;;;;;5.917;;45.81;12.62;;3.38;2.94;;;;;
16;AP;1987;;;;;11.297;;26.2;10.07;;4.04;3.63;;;;;
16;AP;1988;;;;;0.0;;33.4;7.74;;0.0;1.93;;;;;
16;AP;1989;38.19;;;;5.19;0.74;72.2;14.53;17.12;2.24;7.45;;14.1;;;26.7
16;AP;1990;27.88;;;;7.5;1.44;46.3;16.54;13.94;3.61;6.11;;10.0;;;28.66
16;AP;1991;36.43;;;;4.79;1.38;69.0;18.66;10.93;3.47;6.57;;11.7;;;33.75
16;AP;1992;46.22;;;;4.25;1.97;89.2;23.88;25.8;2.63;12.43;;22.7;;;44.87
16;AP;1993;40.97;;;;4.49;1.29;78.5;21.37;29.59;3.25;12.63;;23.8;;;39.38
16;AP;1994;76.35;;;;13.09;2.52;141.4;39.36;36.51;10.11;16.69;;30.7;;;68.42
16;AP;1995;77.57;;;;4.25;1.84;153.0;38.02;36.63;6.77;17.47;;33.0;;;69.06
16;AP;1996;99.0;;;;23.634;4.77;176.32;41.37;46.1;8.49;23.45;;41.8;;;97.69
16;AP;1997;77.95;;;;9.11;3.0;147.64;34.83;24.98;6.01;14.18;;25.2;;;91.02
16;AP;1998;78.86;;;;7.76;3.34;157.0;38.02;33.09;5.74;16.87;;30.2;;;80.36
16;AP;1999;89.64;;;;15.621;2.28;166.38;43.66;30.19;7.78;13.64;;24.8;;;79.75
16;AP;2000;69.63;2.67;67.68;0.0;2.62;0.81;135.96;34.0;15.62;1.62;7.19;38.47;14.4;24.91;11.86;59.68
16;AP;2001;72.36;5.67;74.03;4.02;8.83;0.39;135.53;36.49;13.21;4.66;8.62;44.62;14.16;30.89;16.38;64.26
16;AP;2002;73.26;4.67;81.7;6.34;6.11;1.87;140.3;35.04;17.09;4.48;9.68;44.41;30.72;23.95;14.89;61.61
16;AP;2003;78.98;6.36;78.36;4.03;9.5;1.8;148.56;34.59;30.29;5.4;13.09;43.69;29.35;16.8;10.77;59.86
16;AP;2004;67.07;6.38;63.77;1.49;9.24;1.74;125.07;31.1;29.49;5.21;13.52;35.69;25.36;15.96;8.13;53.48
16;AP;2005;69.25;5.68;65.76;3.15;6.75;1.68;131.93;32.96;18.58;5.04;9.25;36.57;27.31;34.64;18.23;59.73
16;AP;2006;70.19;4.38;70.73;4.26;3.29;0.0;137.2;32.81;26.87;4.23;12.18;39.01;11.57;17.73;10.62;60.52
16;AP;2007;60.9;3.66;55.87;4.47;7.48;1.58;114.28;27.02;21.37;3.79;10.22;30.79;28.82;21.27;12.46;49.79
16;AP;2008;73.44;5.16;63.11;0.0;4.18;0.92;142.41;34.25;23.96;3.98;10.6;36.19;14.92;12.75;5.71;59.36
16;AP;2009;54.91;4.25;59.55;2.42;4.08;0.89;105.34;30.32;21.86;3.57;11.01;33.59;16.19;11.61;6.92;52.54
16;AP;2010;83.5;5.6;69.49;2.55;4.0;1.44;162.13;38.83;35.79;4.62;15.4;39.1;15.45;34.66;18.39;70.31
16;AP;2011;59.34;6.05;57.31;4.05;9.8;2.54;108.2;30.54;25.78;5.35;11.69;32.63;30.52;33.08;18.55;53.5
16;AP;2012;78.12;5.23;65.76;2.92;7.68;1.65;147.45;36.22;38.59;4.68;16.75;36.41;25.26;35.19;17.16;64.99
16;AP;2013;68.6;4.97;53.73;2.45;7.53;1.61;128.62;30.61;32.2;5.11;14.15;30.3;17.69;39.37;18.62;55.52
16;AP;2014;74.01;6.72;75.38;1.07;11.98;2.1;134.96;34.09;45.23;5.26;20.24;40.49;35.01;17.78;8.72;62.29
16;AP;2015;73.73;4.42;85.46;3.08;5.41;1.8;140.95;38.22;42.9;4.63;20.09;45.47;33.66;14.48;8.32;71.12
16;AP;2016;101.42;4.78;117.17;2.31;4.39;1.76;196.94;48.7;66.6;4.28;28.38;59.39;26.59;13.66;7.79;92.3
16;AP;2017;100.22;7.29;102.41;2.44;10.269;2.22;188.82;48.01;47.56;6.65;22.18;55.23;33.24;29.52;15.36;88.56
16;AP;2018;115.68;3.63;111.77;2.32;5.19;2.17;224.85;51.36;67.17;3.62;29.05;58.27;38.09;35.66;16.94;100.36
16;AP;2019;101.8;4.9;99.53;1.08;6.93;2.37;195.13;42.68;67.73;4.5;26.96;51.14;47.66;12.12;5.66;82.02
16;AP;2020;98.31;5.92;96.4;1.2;8.05;2.78;188.5;44.9;59.22;5.11;25.76;51.38;66.27;29.22;12.75;84.58
16;AP;2021;128.19;4.76;120.1;0.0;6.37;2.51;257.03;52.64;35.85;4.33;35.77;60.74;68.95;15.8;7.41;100.8
29;BA;1980;;;;;1.392;;9.16;3.37;;0.88;1.47;;;;;
29;BA;1981;;;;;1.132;;8.93;3.22;;0.74;1.29;;;;;
29;BA;1982;;;;;2.644;;12.59;4.98;;1.6;2.13;;;;;
29;BA;1983;;;;;1.431;;9.4;3.68;;0.84;1.53;;;;;
29;BA;1984;;;;;1.95;;13.5;4.96;;1.05;2.4;;;;;
29;BA;1985;;;;;1.84;;15.26;5.12;;1.11;2.4;;;;;
29;BA;1986;;;;;1.858;;14.18;5.08;;1.14;2.64;;;;;
29;BA;1987;;;;;1.361;;17.3;6.11;;1.49;2.67;;;;;
29;BA;1988;;;;;2.219;;25.6;7.43;;1.51;3.83;;;;;
29;BA;1989;18.1;;;;2.86;0.39;33.8;9.51;10.31;1.38;5.17;;9.96;;;17.7
29;BA;1990;13.5;;;;1.82;0.52;25.5;7.45;8.93;1.31;4.5;;8.46;;;13.62
29;BA;1991;8.02;;;;1.72;0.33;14.5;5.02;3.86;1.06;2.24;;4.18;;;9.01
29;BA;1992;11.98;;;;2.1;0.42;22.1;7.01;7.01;1.3;3.57;;6.77;;;12.81
29;BA;1993;24.03;;;;2.64;0.86;45.8;12.24;18.0;1.93;8.25;;15.5;;;22.51
29;BA;1994;27.63;;;;4.64;1.39;51.3;13.95;20.54;2.85;9.34;;17.4;;;25.21
29;BA;1995;22.14;;;;3.18;1.23;41.5;12.15;17.08;2.58;8.44;;15.6;;;21.79
29;BA;1996;27.85;;;;4.576;1.88;51.57;15.01;23.4;2.77;11.86;;22.1;;;27.09
29;BA;1997;32.36;;;;4.71;1.52;60.35;15.59;22.97;2.72;11.22;;21.1;;;35.04
29;BA;1998;17.6;;;;2.14;0.58;32.34;9.89;12.34;1.55;6.22;;11.9;;;18.36
29;BA;1999;12.23;;;;1.738;0.47;22.28;7.03;8.26;1.34;4.24;;8.12;;;12.52
29;BA;2000;16.49;1.73;15.47;0.935;2.99;0.87;29.43;9.46;11.17;1.95;5.83;8.59;14.54;5.94;3.21;16.35
29;BA;2001;21.58;1.5;21.28;0.799;1.94;0.73;40.41;12.27;17.08;1.79;8.54;11.34;15.88;9.74;4.87;21.9
29;BA;2002;24.33;1.65;22.68;0.863;3.18;0.87;44.6;13.2;18.64;1.78;9.16;12.19;16.76;9.46;4.73;23.62
29;BA;2003;30.19;1.83;28.24;1.09;3.29;0.98;56.03;16.12;23.93;2.19;11.82;15.16;16.19;10.59;5.35;28.85
29;BA;2004;30.89;2.81;30.87;1.18;4.28;1.11;56.5;16.69;24.1;2.78;11.62;16.86;21.45;10.22;5.22;29.3
29;BA;2005;39.96;2.94;39.3;1.32;4.3;1.61;74.35;20.85;30.95;2.99;14.64;21.22;26.86;11.31;5.77;37.58
29;BA;2006;45.62;3.45;46.37;1.3;5.86;1.84;84.08;23.73;36.58;3.42;17.22;24.84;31.7;13.5;6.89;42.81
29;BA;2007;50.67;3.66;50.82;1.56;5.91;1.86;94.13;25.98;41.52;3.48;19.18;27.39;32.77;17.44;8.51;47.26
29;BA;2008;70.52;4.48;67.99;2.07;7.68;2.68;131.75;33.23;59.99;4.38;26.4;36.0;48.67;22.1;11.33;61.78
29;BA;2009;81.3;5.03;79.4;1.72;7.24;3.04;153.77;37.11;70.48;4.77;29.79;42.13;50.95;19.66;9.83;69.51
29;BA;2010;85.61;6.23;84.78;2.28;10.35;3.23;159.56;41.69;70.43;6.02;31.66;45.02;45.93;22.41;11.29;73.46
29;BA;2011;78.25;6.31;77.67;2.2;9.98;3.41;145.61;39.36;64.04;6.13;29.58;41.19;49.87;26.12;12.82;68.89
29;BA;2012;90.39;6.05;86.18;2.55;10.02;3.56;169.98;43.37;72.32;5.93;32.41;45.15;58.06;27.77;14.24;76.81
29;BA;2013;83.82;6.14;79.9;2.67;9.88;3.25;157.29;37.85;68.48;5.71;28.5;42.24;61.35;22.81;12.34;70.54
29;BA;2014;90.7;5.54;87.53;3.02;7.57;2.9;173.49;40.01;75.69;5.17;30.88;45.26;48.99;24.81;13.32;75.57
29;BA;2015;92.17;5.58;86.3;2.67;7.83;2.93;176.35;39.54;74.22;5.1;29.96;44.82;48.26;22.75;12.37;74.75
29;BA;2016;114.27;5.91;102.04;3.35;10.12;3.47;218.4;46.94;92.01;5.86;35.67;52.43;68.28;29.19;15.59;89.19
29;BA;2017;119.8;6.59;106.87;3.45;11.014;3.78;228.66;48.79;91.24;6.44;35.36;55.33;51.55;29.63;15.93;92.31
29;BA;2018;110.67;5.96;98.47;3.05;10.75;3.38;211.67;45.82;84.53;5.62;33.6;50.77;75.4;28.51;15.37;83.68
29;BA;2019;96.96;5.86;90.85;1.94;10.67;3.27;184.33;41.13;77.59;5.18;30.9;47.22;57.07;21.75;11.33;75.13
29;BA;2020;115.8;6.32;103.9;2.84;11.9;3.63;219.1;47.39;87.19;5.78;34.07;54.19;71.56;26.24;13.97;91.35
29;BA;2021;121.2;6.52;107.2;3.24;11.47;3.78;231.22;48.08;46.29;6.0;35.32;55.74;68.75;25.7;13.68;92.66
23;CE;1980;;;;;1.464;;26.68;8.41;;1.14;3.0;;;;;
23;CE;1981;;;;;3.009;;27.9;9.23;;1.49;3.48;;;;;
23;CE;1982;;;;;1.796;;28.13;9.04;;1.35;2.72;;;;;
23;CE;1983;;;;;2.769;;36.2;11.01;;1.68;3.89;;;;;
23;CE;1984;;;;;1.98;;36.93;10.45;;1.37;3.45;;;;;
23;CE;1985;;;;;2.42;;29.18;9.5;;1.38;2.82;;;;;
23;CE;1986;;;;;3.215;;29.76;8.86;;1.75;2.43;;;;;
23;CE;1987;;;;;1.638;;23.6;7.28;;1.3;2.36;;;;;
23;CE;1988;;;;;1.841;;28.4;8.36;;1.09;2.88;;;;;
23;CE;1989;17.58;;;;1.47;0.4;35.0;9.84;7.12;1.48;3.5;;6.77;;;18.7
23;CE;1990;14.64;;;;2.56;0.71;27.7;8.86;7.29;1.4;3.87;;7.2;;;16.78
23;CE;1991;17.21;;;;2.41;0.45;33.2;9.53;7.9;1.62;3.8;;7.34;;;17.93
23;CE;1992;14.9;;;;2.17;0.42;28.4;8.33;5.73;1.27;3.13;;5.97;;;15.74
23;CE;1993;19.85;;;;3.19;0.62;37.8;10.72;9.04;1.81;4.12;;7.83;;;20.14
23;CE;1994;16.77;;;;2.31;0.61;32.1;9.59;6.7;1.73;3.92;;7.39;;;17.8
