cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
42;SC;2005;319.0;295;27;231.0;322.0;33.0;422.0;88.0;564.0;633.0;54.0;6.0;68.0;476.0;94.0;392
42;SC;2006;353.0;290;31;226.0;321.0;34.0;439.0;78.0;574.0;666.0;70.0;15.0;92.0;509.0;93.0;386
42;SC;2007;371.0;292;34;233.0;328.0;21.0;450.0;88.0;560.0;632.0;60.0;6.0;70.0;510.0;94.0;377
42;SC;2008;370.0;373;32;302.0;406.0;43.0;600.0;100.0;715.0;802.0;74.0;8.0;86.0;674.0;108.0;505
42;SC;2009;401.0;391;38;312.0;429.0;39.0;605.0;107.0;726.0;820.0;82.0;8.0;93.0;687.0;115.0;511
42;SC;2010;322.0;338;42;255.0;380.0;42.0;578.0;114.0;712.0;823.0;94.0;15.0;110.0;673.0;129.0;483
42;SC;2011;333.0;355;34;273.0;389.0;33.0;607.0;123.0;737.0;811.0;68.0;5.0;74.0;675.0;128.0;483
42;SC;2012;324.0;368;39;284.0;407.0;37.0;553.0;156.0;717.0;821.0;85.0;18.0;104.0;638.0;174.0;491
42;SC;2013;294.0;326;43;233.0;369.0;36.0;577.0;101.0;686.0;789.0;82.0;16.0;102.0;659.0;117.0;442
42;SC;2014;337.0;361;41;254.0;402.0;39.0;640.0;138.0;794.0;905.0;88.0;21.0;111.0;728.0;159.0;499
42;SC;2015;297.0;407;35;308.0;442.0;34.0;662.0;185.0;860.0;957.0;79.0;18.0;97.0;741.0;203.0;570
42;SC;2016;301.0;437;38;344.0;475.0;50.0;654.0;213.0;877.0;984.0;80.0;27.0;107.0;734.0;240.0;611
42;SC;2017;305.0;480;47;360.0;527.0;35.0;701.0;247.0;957.0;1066.0;86.0;23.0;109.0;787.0;270.0;653
42;SC;2018;222.0;356;37;249.0;393.0;32.0;591.0;157.0;751.0;843.0;74.0;17.0;91.0;665.0;174.0;444
42;SC;2019;202.0;292;46;203.0;338.0;46.0;488.0;163.0;653.0;767.0;86.0;26.0;114.0;574.0;189.0;381
42;SC;2020;182.0;285;31;190.0;316.0;31.0;472.0;168.0;646.0;732.0;67.0;18.0;86.0;539.0;186.0;372
